Time,Counts_Per_Minute
1632975798.3684223,0
1632975803.3736663,0
1632975808.3789244,1
1632975813.3797607,1
1632975818.3849971,1
1632975823.3902206,1
1632975828.3954742,1
1632975833.4007137,1
1632975838.4059613,1
1632975843.4111953,1
1632975848.416457,1
1632975853.4216876,1
1632975858.4269357,2
1632975863.4321961,2
1632975868.4374387,2
1632975873.4426792,2
1632975878.447936,2
1632975883.453168,2
1632975888.4584022,2
1632975893.463668,2
1632975898.4689107,2
1632975903.4741526,2
1632975908.4794137,2
1632975913.4846385,2
1632975918.4898574,2
1632975923.4951038,2
1632975928.500342,2
1632975933.505573,2
1632975938.5108137,2
1632975943.5160494,2
1632975948.521286,2
1632975953.5265172,2
1632975958.5317535,3
1632975963.5369895,3
1632975968.5422273,3
1632975973.5474608,3
1632975978.552691,3
1632975983.5579245,3
1632975988.5631604,3
1632975993.5683918,3
1632975998.5736318,4
1632976003.578863,4
1632976008.5840883,4
1632976013.5893178,5
1632976018.5945654,5
1632976023.5998092,6
1632976028.6050525,6
1632976033.6102846,7
1632976038.6155195,7
1632976043.6207645,7
1632976048.6229002,7
1632976053.6281462,7
1632976058.6333907,7
1632976063.638624,7
1632976068.6438606,7
1632976073.6491015,7
1632976078.6543372,7
1632976083.6595795,7
1632976088.6649005,7
1632976093.670141,7
1632976098.67539,7
1632976103.6806366,7
1632976108.6858864,7
1632976113.6911297,7
1632976118.6963704,7
1632976123.7016103,7
1632976128.7068813,8
1632976133.7121348,8
1632976138.7173836,8
1632976143.7226274,8
1632976148.7278597,9
1632976153.7330961,10
1632976158.738315,10
1632976163.743554,10
1632976168.7487893,11
1632976173.7540226,11
1632976178.7592587,11
1632976183.7644963,11
1632976188.7697494,11
1632976193.7749817,13
1632976198.7802248,13
1632976203.785467,13
1632976208.7907116,13
1632976213.7959528,13
1632976218.7997575,13
1632976223.8049984,13
1632976228.8102436,13
1632976233.8154852,13
1632976238.8207338,13
1632976243.8259742,13
1632976248.831217,13
1632976253.8364553,13
1632976258.841713,13
1632976263.84696,13
1632976268.8522208,13
1632976273.8574772,14
1632976278.8627348,14
